    NFFT     Time        rms      MHz   MFlops  iters  tplan
     144  0.0000018  0.00000019  82.29  2949.9 1000000   0.0
     147  0.0000043  0.00000015  34.15  1229.3 1000000   0.0
     150  0.0000024  0.00000023  63.37  2290.3 1000000   0.0
     160  0.0000019  0.00000022  84.98  3111.1 1000000   0.0
     162  0.0000033  0.00000023  49.49  1816.2 1000000   0.0
     168  0.0000020  0.00000018  83.35  3080.7 1000000   0.0
     175  0.0000048  0.00000015  36.72  1368.1 1000000   0.0
     180  0.0000024  0.00000021  73.61  2757.4 1000000   0.0
     189  0.0000051  0.00000018  37.25  1408.5  985442   0.0
     192  0.0000020  0.00000021  97.91  3713.3 1000000   0.0
     196  0.0000028  0.00000024  69.11  2631.4 1000000   0.0
     200  0.0000024  0.00000022  83.12  3176.7 1000000   0.0
     210  0.0000033  0.00000022  63.85  2462.7 1000000   0.0
     216  0.0000029  0.00000022  75.75  2937.1 1000000   0.0
     224  0.0000024  0.00000023  94.63  3693.9 1000000   0.0
     225  0.0000051  0.00000014  43.87  1713.9  974881   0.0
     240  0.0000029  0.00000021  82.36  3256.0 1000000   0.0
     243  0.0000096  0.00000019  25.39  1005.9  522354   0.0
     245  0.0000072  0.00000015  34.04  1350.9  694716   0.0
     250  0.0000043  0.00000023  58.72  2338.6 1000000   0.0
     252  0.0000033  0.00000023  77.17  3077.9 1000000   0.0
     256  0.0000026  0.00000019  96.66  3866.4 1000000   0.0
     270  0.0000046  0.00000024  58.68  2369.6 1000000   0.0
     280  0.0000034  0.00000023  82.39  3348.9 1000000   0.0
     288  0.0000029  0.00000021  97.78  3994.4 1000000   0.0
     294  0.0000045  0.00000023  64.66  2650.9 1000000   0.0
     300  0.0000039  0.00000023  76.19  3134.8 1000000   0.0
     315  0.0000087  0.00000015  36.03  1495.2  571949   0.0
     320  0.0000035  0.00000022  90.82  3779.0 1000000   0.0
     324  0.0000047  0.00000025  69.00  2877.5 1000000   0.0
     336  0.0000037  0.00000023  89.79  3767.6 1000000   0.0
     343  0.0000107  0.00000016  32.08  1351.1  467702   0.0
     350  0.0000059  0.00000022  59.39  2509.4  848381   0.0
     360  0.0000044  0.00000023  82.73  3512.6 1000000   0.0
     375  0.0000100  0.00000018  37.39  1598.5  498528   0.0
     378  0.0000070  0.00000027  53.99  2311.5  714202   0.0
     384  0.0000040  0.00000023  96.76  4153.2 1000000   0.0
     392  0.0000049  0.00000024  79.39  3419.7 1000000   0.0
     400  0.0000048  0.00000024  83.66  3615.7 1000000   0.0
     405  0.0000111  0.00000017  36.58  1584.1  451556   0.0
     420  0.0000052  0.00000022  80.62  3512.6  959733   0.0
     432  0.0000052  0.00000024  82.69  3619.9  957101   0.0
     441  0.0000143  0.00000019  30.86  1355.3  349835   0.0
     448  0.0000047  0.00000024  94.94  4180.9 1000000   0.0
     450  0.0000062  0.00000023  72.13  3178.5  801407   0.0
     480  0.0000055  0.00000022  88.04  3920.8  917089   0.0
     486  0.0000098  0.00000026  49.72  2218.8  511535   0.0
     490  0.0000084  0.00000023  58.35  2607.1  595360   0.0
     500  0.0000062  0.00000024  80.31  3600.0  803056   0.0
     504  0.0000058  0.00000025  86.53  3883.9  858405   0.0
     512  0.0000051  0.00000022 100.06  4502.6  977120   0.0
     525  0.0000157  0.00000015  33.52  1514.5  319246   0.0
     540  0.0000064  0.00000024  84.13  3818.0  778940   0.0
     560  0.0000065  0.00000024  85.52  3903.6  763550   0.0
     567  0.0000200  0.00000020  28.39  1298.4  250342   0.0
     576  0.0000063  0.00000023  91.77  4207.4  796578   0.0
     588  0.0000073  0.00000025  80.20  3689.2  681989   0.0
     600  0.0000075  0.00000024  80.29  3705.0  669108   0.0
     625  0.0000209  0.00000019  29.92  1389.4  239358   0.0
     630  0.0000155  0.00000025  40.77  1895.5  323539   0.0
     640  0.0000064  0.00000022 100.15  4667.9  782411   0.0
     648  0.0000085  0.00000024  76.24  3560.6  588306   0.0
     672  0.0000074  0.00000023  90.43  4246.7  672841   0.0
     675  0.0000178  0.00000016  37.99  1785.5  281443   0.0
     686  0.0000121  0.00000022  56.54  2663.5  412075   0.0
     700  0.0000087  0.00000024  80.67  3812.1  576207   0.0
     720  0.0000083  0.00000023  86.93  4125.4  603649   0.0
     729  0.0000246  0.00000020  29.65  1409.9  203371   0.0
     735  0.0000229  0.00000016  32.15  1530.6  218709   0.0
     750  0.0000121  0.00000026  61.91  2956.3  412712   0.0
     756  0.0000105  0.00000027  72.00  3442.5  476205   0.0
     768  0.0000075  0.00000023 103.04  4938.1  670825   0.0
     784  0.0000152  0.00000024  51.68  2484.7  329622   0.0
     800  0.0000154  0.00000023  52.02  2508.3  325122   0.0
     810  0.0000144  0.00000027  56.29  2719.1  347443   0.0
     840  0.0000105  0.00000024  79.71  3871.4  474438   0.0
     864  0.0000102  0.00000023  84.95  4143.4  491612   0.0
     875  0.0000304  0.00000019  28.75  1405.1  164312   0.0
     882  0.0000208  0.00000027  42.35  2071.9  240080   0.0
     896  0.0000156  0.00000025  57.34  2812.0  320004   0.0
     900  0.0000168  0.00000025  53.70  2635.2  298351   0.0
     945  0.0000293  0.00000018  32.21  1591.7  170410   0.0
     960  0.0000106  0.00000023  90.19  4467.6  469752   0.0
     972  0.0000155  0.00000027  62.79  3116.1  323010   0.0
     980  0.0000120  0.00000025  81.64  4056.1  416530   0.0
    1000  0.0000174  0.00000026  57.41  2860.5  287032   0.0
    1008  0.0000118  0.00000025  85.48  4264.2  423997   0.0
    1024  0.0000099  0.00000024 103.50  5175.0  505373   0.0
    1029  0.0000444  0.00000017  23.17  1159.4  112593   0.0
    1050  0.0000239  0.00000025  43.89  2202.2  208978   0.0
    1080  0.0000126  0.00000024  85.71  4318.2  396785   0.0
    1120  0.0000205  0.00000024  54.63  2766.7  243874   0.0
    1125  0.0000333  0.00000017  33.74  1709.7  149936   0.0
    1134  0.0000286  0.00000027  39.60  2008.9  174586   0.0
    1152  0.0000204  0.00000023  56.58  2876.9  245558   0.0
    1176  0.0000146  0.00000025  80.45  4103.0  342062   0.0
    1200  0.0000194  0.00000025  61.90  3166.0  257930   0.0
    1215  0.0000406  0.00000018  29.91  1532.2  123073   0.0
    1225  0.0000447  0.00000017  27.38  1404.1  111735   0.0
    1250  0.0000303  0.00000027  41.28  2123.4  165125   0.0
    1260  0.0000234  0.00000025  53.82  2771.4  213566   0.0
    1280  0.0000242  0.00000023  52.98  2734.4  206960   0.0
    1296  0.0000161  0.00000025  80.45  4159.0  310365   0.0
    1323  0.0000512  0.00000020  25.82  1338.8   97586   0.0
    1344  0.0000235  0.00000025  57.21  2972.5  212821   0.0
    1350  0.0000276  0.00000026  48.91  2543.2  181165   0.0
    1372  0.0000275  0.00000026  49.90  2600.3  181849   0.0
    1400  0.0000247  0.00000025  56.60  2957.8  202147   0.0
    1440  0.0000239  0.00000024  60.35  3166.1  209561   0.0
    1458  0.0000385  0.00000028  37.87  1989.8  129858   0.0
    1470  0.0000291  0.00000026  50.52  2657.6  171824   0.0
    1500  0.0000179  0.00000026  83.78  4419.8  279271   0.0
    1512  0.0000198  0.00000026  76.51  4040.7  253014   0.0
    1536  0.0000329  0.00000024  46.74  2473.8  152156   0.0
    1568  0.0000191  0.00000026  82.28  4366.9  262371   0.0
    1575  0.0000486  0.00000016  32.39  1719.9  102814   0.0
    1600  0.0000288  0.00000025  55.46  2951.5  173313   0.0
    1620  0.0000316  0.00000026  51.34  2736.7  158447   0.0
    1680  0.0000201  0.00000025  83.65  4481.4  248966   0.0
    1701  0.0000574  0.00000021  29.61  1589.0   87045   0.0
    1715  0.0000633  0.00000017  27.08  1454.9   78962   0.0
    1728  0.0000192  0.00000024  90.09  4844.4  260672   0.0
    1750  0.0000347  0.00000027  50.45  2717.3  144133   0.0
    1764  0.0000356  0.00000028  49.62  2675.6  140641   0.0
    1792  0.0000312  0.00000026  57.51  3107.6  160460   0.0
    1800  0.0000333  0.00000025  54.09  2924.5  150245   0.0
    1875  0.0000753  0.00000019  24.92  1354.5   66444   0.0
    1890  0.0000424  0.00000028  44.62  2428.1  118037   0.0
    1920  0.0000336  0.00000025  57.16  3117.0  148845   0.0
    1944  0.0000383  0.00000028  50.82  2775.9  130706   0.0
    1960  0.0000361  0.00000026  54.23  2965.5  138342   0.0
    2000  0.0000362  0.00000026  55.20  3026.7  138005   0.0
    2016  0.0000340  0.00000025  59.21  3250.0  146859   0.0
    2025  0.0000666  0.00000018  30.42  1670.7   75114   0.0
    2048  0.0000356  0.00000026  57.59  3167.3  140596   0.0
    2058  0.0000452  0.00000027  45.52  2505.2  110594   0.0
    2100  0.0000377  0.00000026  55.77  3077.4  132784   0.0
    2160  0.0000365  0.00000025  59.19  3278.4  137021   0.0
    2187  0.0001085  0.00000024  20.16  1118.4   46091   0.0
    2205  0.0000874  0.00000017  25.22  1400.6   57189   0.0
    2240  0.0000393  0.00000026  56.98  3171.0  127197   0.0
    2250  0.0000359  0.00000027  62.60  3485.3  139104   0.0
    2268  0.0000351  0.00000028  64.63  3602.1  142478   0.0
    2304  0.0000391  0.00000026  58.92  3290.4  127856   0.0
    2352  0.0000429  0.00000026  54.83  3070.4  116562   0.0
    2400  0.0000435  0.00000026  55.14  3095.8  114876   0.0
    2401  0.0001024  0.00000018  23.45  1316.4   48824   0.0
    2430  0.0000477  0.00000028  50.94  2864.6  104817   0.0
    2450  0.0000451  0.00000026  54.27  3054.9  110750   0.0
    2500  0.0000359  0.00000028  69.62  3929.4  139245   0.0
    2520  0.0000433  0.00000025  58.16  3285.6  115388   0.0
    2560  0.0000302  0.00000025  84.90  4806.2  165822   0.0
    2592  0.0000471  0.00000027  55.05  3121.1  106184   0.0
    2625  0.0000961  0.00000019  27.32  1551.7   52045   0.0
    2646  0.0000626  0.00000029  42.29  2404.2   79918   0.0
    2688  0.0000312  0.00000026  86.27  4914.2  160478   0.0
    2700  0.0000367  0.00000027  73.63  4196.5  136355   0.0
    2744  0.0000550  0.00000027  49.91  2850.3   90942   0.0
    2800  0.0000498  0.00000026  56.20  3218.0  100365   0.0
    2835  0.0001106  0.00000019  25.62  1469.3   45188   0.0
    2880  0.0000323  0.00000026  89.11  5120.0  154699   0.1
    2916  0.0000654  0.00000030  44.56  2564.5   76411   0.0
    2940  0.0000568  0.00000026  51.73  2980.3   87982   0.0
    3000  0.0000544  0.00000027  55.17  3186.4   91953   0.0
    3024  0.0000554  0.00000027  54.60  3156.7   90284   0.0
    3072  0.0000571  0.00000026  53.82  3117.6   87601   0.0
    3087  0.0001333  0.00000020  23.16  1342.2   37507   0.0
    3125  0.0001327  0.00000022  23.56  1367.4   37689   0.0
    3136  0.0000396  0.00000027  79.21  4600.2  126298   0.0
    3150  0.0000672  0.00000026  46.89  2724.3   74422   0.0
    3200  0.0000608  0.00000025  52.60  3062.5   82192   0.0
    3240  0.0000599  0.00000026  54.10  3154.7   83493   0.0
    3360  0.0000556  0.00000026  60.41  3538.1   89891   0.0
    3375  0.0001065  0.00000017  31.70  1857.5   46956   0.0
    3402  0.0000755  0.00000030  45.06  2643.5   66233   0.0
    3430  0.0000629  0.00000026  54.52  3201.3   79472   0.0
    3456  0.0000436  0.00000025  79.29  4660.2  114712   0.0
    3500  0.0000509  0.00000028  68.70  4044.0   98142   0.0
    3528  0.0000487  0.00000027  72.44  4268.6  102669   0.0
    3584  0.0000437  0.00000027  81.96  4838.4  114336   0.0
    3600  0.0000463  0.00000026  77.73  4591.2  107953   0.1
    3645  0.0001266  0.00000020  28.79  1703.2   39493   0.0
    3675  0.0001391  0.00000018  26.43  1565.0   35957   0.0
    3750  0.0000726  0.00000030  51.65  3065.8   68860   0.0
    3780  0.0000535  0.00000027  70.66  4198.6   93464   0.0
    3840  0.0000455  0.00000025  84.43  5026.2  109929   0.0
    3888  0.0000583  0.00000028  66.73  3978.7   85816   0.0
    3920  0.0000562  0.00000026  69.77  4164.3   88996   0.0
    3969  0.0001694  0.00000022  23.43  1400.3   29513   0.0
    4000  0.0000554  0.00000027  72.17  4317.8   90212   0.0
    4032  0.0000533  0.00000026  75.65  4530.4   93811   0.0
    4050  0.0000871  0.00000027  46.49  2785.4   57391   0.0
    4096  0.0000437  0.00000026  93.79  5627.5  114491   0.0
    4116  0.0000621  0.00000028  66.31  3980.8   80549   0.0
    4200  0.0000742  0.00000026  56.63  3408.3   67422   0.0
    4320  0.0000714  0.00000026  60.48  3652.3   70005   0.1
    4374  0.0001229  0.00000030  35.59  2152.1   40681   0.0
    4375  0.0001865  0.00000021  23.46  1418.9   26815   0.0
    4410  0.0001021  0.00000028  43.18  2613.8   48957   0.0
    4480  0.0000760  0.00000026  58.91  3572.9   65752   0.0
    4500  0.0000841  0.00000027  53.54  3248.6   59486   0.0
    4536  0.0000895  0.00000028  50.66  3076.7   55839   0.0
    4608  0.0000523  0.00000026  88.14  5363.1   95635   0.0
    4704  0.0000883  0.00000027  53.29  3250.7   56645   0.0
    4725  0.0001885  0.00000017  25.07  1530.0   26529   0.0
    4800  0.0000875  0.00000026  54.88  3355.3   57162   0.1
    4802  0.0000955  0.00000026  50.28  3074.3   52350   0.0
    4860  0.0000809  0.00000028  60.10  3680.2   61833   0.0
    4900  0.0000913  0.00000028  53.67  3289.8   54769   0.0
    5000  0.0000911  0.00000029  54.86  3370.3   54856   0.0
    5040  0.0000872  0.00000026  57.82  3555.9   57365   0.1
    5103  0.0002313  0.00000023  22.06  1358.7   21616   0.0
    5120  0.0000915  0.00000026  55.97  3448.1   54655   0.0
    5145  0.0002207  0.00000018  23.31  1437.2   22657   0.0
    5184  0.0000896  0.00000026  57.86  3570.0   55807   0.1
    5250  0.0001237  0.00000029  42.44  2622.3   40417   0.0
    5292  0.0001086  0.00000030  48.74  3014.2   46047   0.0
    5376  0.0000925  0.00000027  58.13  3601.7   54063   0.0
    5400  0.0001014  0.00000026  53.27  3302.5   49326   0.1
    5488  0.0001039  0.00000028  52.84  3282.0   48143   0.0
    5600  0.0001036  0.00000027  54.07  3366.3   48279   0.0
    5625  0.0002091  0.00000019  26.90  1675.4   23909   0.0
    5670  0.0001190  0.00000029  47.67  2971.8   42034   0.0
    5760  0.0001060  0.00000027  54.35  3394.8   47181   0.1
    5832  0.0001294  0.00000030  45.08  2819.5   38646   0.0
    5880  0.0000863  0.00000028  68.12  4264.6   57922   0.0
    6000  0.0001117  0.00000027  53.70  3369.8   44749   0.0
    6048  0.0001099  0.00000028  55.03  3456.6   45496   0.1
    6075  0.0002366  0.00000019  25.68  1613.5   21132   0.0
    6125  0.0002655  0.00000019  23.07  1451.3   18835   0.0
    6144  0.0001157  0.00000026  53.11  3342.2   43224   0.0
    6174  0.0001560  0.00000030  39.59  2492.3   32058   0.0
    6250  0.0001565  0.00000030  39.94  2518.2   31953   0.0
    6272  0.0001148  0.00000028  54.64  3446.4   43560   0.0
    6300  0.0001222  0.00000027  51.56  3253.5   40918   0.0
    6400  0.0001180  0.00000026  54.23  3428.3   42366   0.0
    6480  0.0001182  0.00000026  54.81  3469.8   42290   0.1
    6561  0.0002934  0.00000025  22.37  1417.9   17044   0.0
    6615  0.0002858  0.00000019  23.15  1469.0   17497   0.0
    6720  0.0001179  0.00000027  57.00  3623.2   42407   0.1
    6750  0.0001184  0.00000028  57.03  3627.5   42247   0.0
    6804  0.0001505  0.00000031  45.21  2878.0   33222   0.0
    6860  0.0001322  0.00000028  51.90  3307.1   37828   0.0
    6912  0.0001279  0.00000026  54.04  3446.5   39093   0.1
    7000  0.0001380  0.00000028  50.71  3238.4   36219   0.0
    7056  0.0001340  0.00000028  52.64  3364.8   37300   0.0
    7168  0.0001256  0.00000028  57.06  3654.2   39805   0.0
    7200  0.0001333  0.00000027  54.02  3460.9   37513   0.1
    7203  0.0003197  0.00000019  22.53  1443.4   15638   0.0
    7290  0.0001970  0.00000030  37.00  2374.1   25380   0.0
    7350  0.0001705  0.00000029  43.10  2767.6   29318   0.0
    7500  0.0001120  0.00000029  66.97  4310.7   44650   0.0
    7560  0.0001398  0.00000028  54.09  3484.3   35771   0.1
    7680  0.0000947  0.00000026  81.10  5233.7   52799   0.1
    7776  0.0001192  0.00000029  65.22  4214.6   41935   0.1
    7840  0.0001480  0.00000027  52.96  3425.6   33775   0.0
    7875  0.0003302  0.00000018  23.85  1543.3   15141   0.0
    7938  0.0002099  0.00000031  37.82  2449.5   23820   0.0
    8000  0.0001197  0.00000028  66.83  4332.3   41767   0.0
    8064  0.0001486  0.00000027  54.26  3520.6   33642   0.1
    8100  0.0001253  0.00000027  64.63  4195.7   39895   0.0
    8192  0.0001520  0.00000027  53.89  3503.0   32893   0.0
    8232  0.0001578  0.00000028  52.18  3393.7   31695   0.0
    8400  0.0001557  0.00000027  53.97  3517.6   32123   0.1
    8505  0.0003652  0.00000021  23.29  1520.2   13692   0.0
    8575  0.0004191  0.00000019  20.46  1336.6   11930   0.0
    8640  0.0001517  0.00000027  56.96  3724.5   32965   0.1
    8748  0.0002103  0.00000032  41.59  2723.0   23771   0.0
    8750  0.0002150  0.00000029  40.70  2664.9   23258   0.0
    8820  0.0001679  0.00000028  52.52  3441.8   29773   0.0
    8960  0.0001595  0.00000027  56.16  3686.7   31339   0.0
    9000  0.0001729  0.00000028  52.05  3418.8   28919   0.1
    9072  0.0001877  0.00000029  48.34  3177.7   26643   0.1
    9216  0.0001671  0.00000027  55.15  3631.5   29920   0.1
    9261  0.0004381  0.00000021  21.14  1392.7   11413   0.0
    9375  0.0003846  0.00000021  24.38  1608.1   13000   0.0
    9408  0.0001389  0.00000028  67.73  4469.8   35994   0.0
    9450  0.0001876  0.00000029  50.38  3326.9   26658   0.0
    9600  0.0001217  0.00000027  78.88  5217.4   41083   0.1
    9604  0.0001722  0.00000030  55.76  3688.5   29031   0.0
    9720  0.0001591  0.00000028  61.09  4046.1   31424   0.1
    9800  0.0001503  0.00000029  65.19  4321.6   33260   0.0
   10000  0.0001520  0.00000030  65.79  4371.0   32895   0.0
   10080  0.0001453  0.00000027  69.37  4613.1   34412   0.1
   10125  0.0003706  0.00000018  27.32  1817.4   13490   0.0
   10206  0.0002497  0.00000032  40.88  2721.7   20025   0.0
   10240  0.0001329  0.00000027  77.04  5131.3   37615   0.0
   10290  0.0002037  0.00000029  50.51  3366.2   24543   0.0
   10368  0.0001458  0.00000028  71.13  4744.1   34301   0.1
   10500  0.0001582  0.00000029  66.38  4433.5   31609   0.0
   10584  0.0001759  0.00000030  60.17  4022.4   28426   0.0
   10752  0.0001429  0.00000028  75.27  5039.9   35001   0.1
   10800  0.0001600  0.00000028  67.50  4522.2   31251   0.1
   10935  0.0004906  0.00000022  22.29  1495.3   10192   0.0
   10976  0.0001666  0.00000030  65.89  4422.0   30016   0.0
   11025  0.0004408  0.00000018  25.01  1679.3   11343   0.0
   11200  0.0002225  0.00000028  50.34  3385.5   22472   0.0
   11250  0.0002747  0.00000031  40.96  2755.9   18203   0.0
   11340  0.0002344  0.00000029  48.37  3257.5   21327   0.1
   11520  0.0002043  0.00000027  56.38  3803.4   24471   0.1
   11664  0.0002511  0.00000031  46.45  3137.4   19910   0.1
   11760  0.0002230  0.00000028  52.73  3564.8   22418   0.0
   11907  0.0005564  0.00000023  21.40  1448.7    8986   0.0
   12000  0.0001828  0.00000028  65.65  4448.3   27356   0.1
   12005  0.0005669  0.00000019  21.18  1434.9    8820   0.0
   12096  0.0001818  0.00000028  66.54  4511.8   27503   0.1
   12150  0.0003172  0.00000030  38.31  2598.8   15764   0.0
   12250  0.0002984  0.00000029  41.05  2787.7   16757   0.0
   12288  0.0002265  0.00000028  54.25  3685.2   22076   0.0
   12348  0.0002598  0.00000031  47.53  3230.1   19246   0.0
   12500  0.0002676  0.00000032  46.71  3178.5   18684   0.0
   12544  0.0002392  0.00000029  52.44  3569.7   20902   0.0
   12600  0.0002404  0.00000028  52.40  3569.0   20795   0.1
   12800  0.0002560  0.00000027  50.00  3410.7   19530   0.1
   12960  0.0002621  0.00000028  49.44  3377.2   19074   0.1
   13122  0.0004087  0.00000033  32.11  2196.2   12235   0.0
   13125  0.0006187  0.00000020  21.21  1450.9    8081   0.0
   13230  0.0003438  0.00000031  38.48  2634.3   14543   0.0
   13440  0.0002683  0.00000028  50.10  3435.3   18638   0.1
   13500  0.0002695  0.00000029  50.10  3437.1   18556   0.1
   13608  0.0003012  0.00000032  45.17  3101.6   16598   0.1
   13720  0.0002828  0.00000030  48.52  3334.4   17683   0.0
   13824  0.0002561  0.00000028  53.98  3712.3   19523   0.1
   14000  0.0002831  0.00000030  49.45  3405.7   17662   0.0
   14112  0.0002866  0.00000029  49.23  3393.4   17444   0.1
   14175  0.0006101  0.00000020  23.23  1602.0    8195   0.0
   14336  0.0002476  0.00000030  57.90  3997.0   20193   0.0
   14400  0.0002809  0.00000028  51.27  3541.1   17802   0.1
   14406  0.0003519  0.00000031  40.93  2827.3   14207   0.0
   14580  0.0003342  0.00000031  43.62  3016.7   14959   0.0
   14700  0.0002949  0.00000029  49.84  3449.9   16953   0.0
   15000  0.0002934  0.00000030  51.13  3546.7   17044   0.0
   15120  0.0002805  0.00000029  53.91  3742.6   17828   0.1
   15309  0.0007220  0.00000025  21.20  1473.8    6925   0.0
   15360  0.0002958  0.00000028  51.93  3611.1   16905   0.1
   15435  0.0007356  0.00000019  20.98  1459.7    6797   0.0
   15552  0.0003195  0.00000030  48.67  3388.7   15648   0.1
   15625  0.0007816  0.00000025  19.99  1392.5    6397   0.0
   15680  0.0002990  0.00000030  52.44  3654.2   16722   0.0
   15750  0.0003775  0.00000030  41.72  2908.4   13244   0.0
   15876  0.0003823  0.00000032  41.53  2897.3   13078   0.0
   16000  0.0003197  0.00000029  50.05  3495.2   15642   0.1
   16128  0.0003075  0.00000028  52.45  3665.6   16261   0.1
   16200  0.0003190  0.00000028  50.78  3550.7   15674   0.1
   16384  0.0003121  0.00000029  52.49  3674.4   16019   0.0
   16464  0.0004225  0.00000030  38.97  2729.3   11835   0.0
   16800  0.0004064  0.00000029  41.34  2901.1   12303   0.0
   16807  0.0008811  0.00000020  19.08  1338.8    5675   0.0
   16875  0.0007395  0.00000020  22.82  1602.1    6761   0.0
   17010  0.0005292  0.00000029  32.15  2258.9    9449   0.0
   17150  0.0005862  0.00000025  29.25  2057.5    8529   0.0
   17280  0.0004072  0.00000028  42.43  2986.6   12278   0.1
   17496  0.0005508  0.00000032  31.77  2238.6    9078   0.0
   17500  0.0006523  0.00000028  26.83  1890.7    7665   0.0
   17640  0.0004459  0.00000030  39.56  2790.5   11214   0.0
   17920  0.0003422  0.00000028  52.37  3699.7   14612   0.0
   18000  0.0004923  0.00000029  36.56  2584.1   10156   0.1
   18144  0.0004081  0.00000031  44.46  3144.7   12251   0.1
   18225  0.0008109  0.00000022  22.48  1590.5    6166   0.0
   18375  0.0008784  0.00000020  20.92  1481.6    5692   0.0
   18432  0.0004809  0.00000028  38.33  2715.5   10397   0.1
   18522  0.0005449  0.00000030  33.99  2409.5    9176   0.0
   18750  0.0006266  0.00000030  29.92  2123.6    7979   0.0
   18816  0.0004812  0.00000029  39.10  2776.0   10390   0.0
   18900  0.0004548  0.00000028  41.55  2951.6   10993   0.0
   19200  0.0004522  0.00000028  42.46  3020.4   11056   0.1
   19208  0.0005821  0.00000029  33.00  2347.8    8590   0.0
   19440  0.0005187  0.00000030  37.48  2669.9    9640   0.1
   19600  0.0005130  0.00000030  38.21  2724.0    9747   0.0
   19683  0.0012080  0.00000027  16.29  1162.1    4139   0.0
   19845  0.0009337  0.00000021  21.25  1517.2    5355   0.0
   20000  0.0005164  0.00000031  38.73  2767.0    9683   0.0
   20160  0.0005004  0.00000028  40.29  2880.7    9993   0.1
   20250  0.0005921  0.00000028  34.20  2446.4    8445   0.0
   20412  0.0005655  0.00000032  36.10  2584.0    8842   0.0
   20480  0.0005245  0.00000028  39.05  2796.2    9533   0.0
   20580  0.0010638  0.00000020  19.35  1386.0    4700   0.0
   20736  0.0005076  0.00000028  40.85  2929.2    9851   0.1
   21000  0.0006244  0.00000031  33.63  2414.6    8008   0.0
   21168  0.0005705  0.00000031  37.11  2666.1    8765   0.0
   21504  0.0004951  0.00000029  43.43  3125.3   10098   0.0
   21600  0.0005391  0.00000028  40.07  2884.6    9275   0.1
   21609  0.0010951  0.00000022  19.73  1420.7    4566   0.0
   21870  0.0007083  0.00000030  30.88  2225.6    7059   0.0
   21875  0.0011351  0.00000024  19.27  1389.2    4405   0.0
   21952  0.0005677  0.00000030  38.67  2788.6    8808   0.0
   22050  0.0006672  0.00000028  33.05  2384.2    7494   0.0
   22400  0.0006109  0.00000029  36.66  2649.2    8184   0.0
   22500  0.0007044  0.00000029  31.94  2309.0    7098   0.0
